INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
308408221,06/20/2025,19:06:00,QUEENS,OUTSIDE,104,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1013701,195936,0,0,POINT (0 0)
306062049,05/08/2025,00:25:00,BRONX,OUTSIDE,47,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,WHITE HISPANIC,1030360,261043,40.883065,-73.833249,POINT (-73.833249 40.883065)
312202110,09/01/2025,19:34:00,BRONX,OUTSIDE,49,0,STREET,(null),N,18-24,M,BLACK,18-24,M,BLACK,1020797,254600,40.865427,-73.867866,POINT (-73.867866 40.865427)
312957372,09/15/2025,17:32:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),N,18-24,M,BLACK,<18,M,BLACK,1002444,231358,40.80169,-73.934282,POINT (-73.934282 40.80169)
311949658,08/26/2025,15:30:00,BRONX,OUTSIDE,48,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1014898,249845,40.852399,-73.889217,POINT (-73.889217 40.852399)
311757222,08/23/2025,19:27:00,BRONX,OUTSIDE,47,0,PLAYGROUND,(null),Y,18-24,M,WHITE HISPANIC,<18,F,BLACK,1028261,257789,40.87413587,-73.84086067,POINT (-73.84086067 40.87413587)
301565779,02/23/2025,23:41:00,BRONX,INSIDE,43,0,DWELLING,MULTI DWELL - APT BUILD,N,18-24,M,BLACK,45-64,F,WHITE HISPANIC,1024656,245412,40.840191,-73.85397,POINT (-73.85397 40.840191)
312521185,09/07/2025,19:15:00,BRONX,OUTSIDE,42,0,STREET,(null),N,(null),(null),(null),18-24,M,WHITE HISPANIC,1009590,238835,40.822195,-73.908444,POINT (-73.908444 40.822195)
307528851,06/04/2025,02:52:00,BROOKLYN,OUTSIDE,71,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,995255,178879,40.65766,-73.960336,POINT (-73.960336 40.65766)
305412877,04/27/2025,07:11:00,QUEENS,OUTSIDE,109,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1036473,217965,40.764795,-73.811476,POINT (-73.811476 40.764795)
312482077,09/06/2025,06:48:00,BRONX,OUTSIDE,43,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,18-24,M,BLACK,1020794,240353,40.826323,-73.867954,POINT (-73.867954 40.826323)
305034043,04/20/2025,01:57:00,BROOKLYN,OUTSIDE,81,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,F,BLACK,1003207,190085,40.688406,-73.931642,POINT (-73.931642 40.688406)
312764904,09/11/2025,23:53:00,BROOKLYN,OUTSIDE,79,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),25-44,M,BLACK,999134,190013,40.688215,-73.946331,POINT (-73.946331 40.688215)
303829750,03/28/2025,23:50:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - APT BUILD,N,18-24,M,BLACK,25-44,M,BLACK HISPANIC,999874,238251,40.820614,-73.94355,POINT (-73.94355 40.820614)
308047666,06/13/2025,19:45:00,BRONX,OUTSIDE,47,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1030896,263028,40.888511,-73.831296,POINT (-73.831296 40.888511)
302842116,03/14/2025,15:50:00,BROOKLYN,OUTSIDE,76,1,TRANSIT,(null),N,18-24,M,BLACK,25-44,M,BLACK,982688,185908,40.67696,-74.005629,POINT (-74.005629 40.67696)
